InputSize,SequentialMerge,SequentialQuick,OpenMPMerge,OpenMPQuick,MPIMerge,MPIQuick,OMPMergeSpeedup,OMPQuickSpeedup,MPIMergeSpeedup,MPIQuickSpeedup,OMPMergeEfficiency,OMPQuickEfficiency,MPIMergeEfficiency,MPIQuickEfficiency
10000,0.001713,0.000666,0.00069,0.000751,0.000502,3e-05,2.482608695652174,0.8868175765645806,3.412350597609562,22.2,0.6206521739130435,0.22170439414114515,0.8530876494023905,5.55
100000,0.013989,0.005758,0.003547,0.003191,0.004471,0.001495,3.9438962503524104,1.8044500156690695,3.1288302393200627,3.851505016722408,0.9859740625881026,0.45111250391726737,0.7822075598300157,0.962876254180602
1000000,0.09672,0.064501,0.032811,0.032031,0.041358,0.012873,2.9477918990582426,2.0137054728232027,2.338604381256347,5.0105647479220075,0.7369479747645606,0.5034263682058007,0.5846510953140868,1.2526411869805019
10000000,1.046827,2.228275,0.333276,1.304999,0.447858,0.126554,3.1410212556559727,1.7074917298787202,2.337408285661973,17.60730597215418,0.7852553139139932,0.42687293246968006,0.5843520714154933,4.401826493038545
